anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
CloudExStage::stage_change::SeaWorldEX2::raw,CloudExStage::stage_change::SeaWorldEX2::raw,change_stage_id,Seaside Kingdom,CloudExStage,subarea,SeaWorldEX2,raw,obj3005,1850.000,750.000,11300.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CloudExStage::stage_change::SeaWorldEX2Return::raw,CloudExStage::stage_change::SeaWorldEX2Return::raw,change_stage_id,Seaside Kingdom,CloudExStage,subarea,SeaWorldEX2Return,raw,obj3007,-25300.000,550.000,3500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CloudExStage::start,CloudExStage::start,stage_start,Seaside Kingdom,CloudExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
CloudExStage::entrance::SeaWorldEX2::sub_near,CloudExStage::entrance::SeaWorldEX2::sub_near,entrance_side,Seaside Kingdom,CloudExStage,subarea,SeaWorldEX2,sub_near,obj3005,1850.000,750.000,11300.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CloudExStage::entrance::SeaWorldEX2Return::sub_far,CloudExStage::entrance::SeaWorldEX2Return::sub_far,entrance_side,Seaside Kingdom,CloudExStage,subarea,SeaWorldEX2Return,sub_far,obj3007,-25300.000,550.000,3500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ReflectBombExStage::stage_change::SeaWorldMoonEX1a::raw,ReflectBombExStage::stage_change::SeaWorldMoonEX1a::raw,change_stage_id,Seaside Kingdom,ReflectBombExStage,subarea,SeaWorldMoonEX1a,raw,obj2091,-14850.000,400.000,6500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ReflectBombExStage::stage_change::SeaWorldMoonEX1b::raw,ReflectBombExStage::stage_change::SeaWorldMoonEX1b::raw,change_stage_id,Seaside Kingdom,ReflectBombExStage,subarea,SeaWorldMoonEX1b,raw,obj2090,-14850.000,1050.000,-2750.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ReflectBombExStage::start,ReflectBombExStage::start,stage_start,Seaside Kingdom,ReflectBombExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
ReflectBombExStage::entrance::SeaWorldMoonEX1a::sub_near,ReflectBombExStage::entrance::SeaWorldMoonEX1a::sub_near,entrance_side,Seaside Kingdom,ReflectBombExStage,subarea,SeaWorldMoonEX1a,sub_near,obj2091,-14850.000,400.000,6500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ReflectBombExStage::entrance::SeaWorldMoonEX1b::sub_far,ReflectBombExStage::entrance::SeaWorldMoonEX1b::sub_far,entrance_side,Seaside Kingdom,ReflectBombExStage,subarea,SeaWorldMoonEX1b,sub_far,obj2090,-14850.000,1050.000,-2750.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldBottomHollowZone::stage_change::StartPoint::raw,SeaWorldBottomHollowZone::stage_change::StartPoint::raw,change_stage_id,Seaside Kingdom,SeaWorldHomeStage,overworld,StartPoint,raw,obj19,21500.000,-3250.000,-8300.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldCostumeStage::stage_change::CostumeEventSeaWorld::raw,SeaWorldCostumeStage::stage_change::CostumeEventSeaWorld::raw,change_stage_id,Seaside Kingdom,SeaWorldCostumeStage,subarea,CostumeEventSeaWorld,raw,obj6,0.000,-100.000,1375.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldCostumeStage::start,SeaWorldCostumeStage::start,stage_start,Seaside Kingdom,SeaWorldCostumeStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldCostumeStage::entrance::CostumeEventSeaWorld::sub_far,SeaWorldCostumeStage::entrance::CostumeEventSeaWorld::sub_far,entrance_side,Seaside Kingdom,SeaWorldCostumeStage,subarea,CostumeEventSeaWorld,sub_far,obj6,0.000,-100.000,1375.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldCostumeStage::entrance::CostumeEventSeaWorld::sub_near,SeaWorldCostumeStage::entrance::CostumeEventSeaWorld::sub_near,entrance_side,Seaside Kingdom,SeaWorldCostumeStage,subarea,CostumeEventSeaWorld,sub_near,obj6,0.000,-100.000,1375.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldDamageBallZone::checkpoint::obj59,SeaWorldDamageBallZone::checkpoint::obj59,checkpoint_obj,Seaside Kingdom,SeaWorldHomeStage,overworld,,,obj59,10770.711,3850.000,397.918,StageData,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::checkpoint::obj1524,SeaWorldHomeStage::checkpoint::obj1524,checkpoint_obj,Seaside Kingdom,SeaWorldHomeStage,overworld,,,obj1524,-15000.000,550.000,-4500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::checkpoint::obj1866,SeaWorldHomeStage::checkpoint::obj1866,checkpoint_obj,Seaside Kingdom,SeaWorldHomeStage,overworld,,,obj1866,14000.000,750.000,-4800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::checkpoint::obj2264,SeaWorldHomeStage::checkpoint::obj2264,checkpoint_obj,Seaside Kingdom,SeaWorldHomeStage,overworld,,,obj2264,-11900.000,-1550.000,-31800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::checkpoint::obj2266,SeaWorldHomeStage::checkpoint::obj2266,checkpoint_obj,Seaside Kingdom,SeaWorldHomeStage,overworld,,,obj2266,10600.000,-1550.000,-31600.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::checkpoint::obj2621,SeaWorldHomeStage::checkpoint::obj2621,checkpoint_obj,Seaside Kingdom,SeaWorldHomeStage,overworld,,,obj2621,-21750.000,4950.000,-1050.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_in,SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_in,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,CostumeEventSeaWorld,home_in,obj1385,-15000.000,550.000,-2300.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_out,SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_out,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,CostumeEventSeaWorld,home_out,obj1385,-15000.000,550.000,-2300.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::PukupukuCaveGoal::home_out,SeaWorldHomeStage::entrance::PukupukuCaveGoal::home_out,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,PukupukuCaveGoal,home_out,obj252,-1100.000,3600.000,0.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::PukupukuCaveStart::home_in,SeaWorldHomeStage::entrance::PukupukuCaveStart::home_in,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,PukupukuCaveStart,home_in,obj328,1300.000,-2750.000,-9600.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::RoomEventWorldSea::home_in,SeaWorldHomeStage::entrance::RoomEventWorldSea::home_in,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,RoomEventWorldSea,home_in,obj342,-800.000,-2400.000,-3600.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::RoomEventWorldSea::home_out,SeaWorldHomeStage::entrance::RoomEventWorldSea::home_out,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,RoomEventWorldSea,home_out,obj342,-800.000,-2400.000,-3600.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::SeaWorldEX1a::home_in,SeaWorldHomeStage::entrance::SeaWorldEX1a::home_in,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,SeaWorldEX1a,home_in,obj34,1200.000,1150.000,-1850.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::SeaWorldEX1b::home_out,SeaWorldHomeStage::entrance::SeaWorldEX1b::home_out,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,SeaWorldEX1b,home_out,obj36,1200.000,1200.000,-1200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::SeaWorldEX2::home_in,SeaWorldHomeStage::entrance::SeaWorldEX2::home_in,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,SeaWorldEX2,home_in,obj2080,-11800.000,1945.786,-2300.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::SeaWorldEX2Return::home_out,SeaWorldHomeStage::entrance::SeaWorldEX2Return::home_out,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,SeaWorldEX2Return,home_out,obj3007,-25300.000,550.000,3500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SeaWorldHomeStage::entrance::SeaWorldEX3a::home_in,SeaWorldHomeStage::entrance::SeaWorldEX3a::home_in,entrance_side,Seaside Kingdom,SeaWorldHomeStage,overworld,SeaWorldEX3a,home_in,obj512,-700.000,-1500.000,200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
