link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
68,Snow Kingdom,overworld,SnowWorldHomeStage,EX_IceWaterDash,EX_IceWaterDash_Exit,IceWaterDashExStage,EX_IceWaterDash,EX_IceWaterDash_Exit,SnowWorldHomeStage::entrance::EX_IceWaterDash::home_in,SnowWorldHomeStage::entrance::EX_IceWaterDash_Exit::home_out,IceWaterDashExStage::entrance::EX_IceWaterDash::sub_near,IceWaterDashExStage::entrance::EX_IceWaterDash_Exit::sub_far,active,
69,Snow Kingdom,overworld,SnowWorldHomeStage,EX_IceWater,EX_IceWater_Exit,IceWaterBlockExStage,EX_IceWater,EX_IceWater_Exit,SnowWorldHomeStage::entrance::EX_IceWater::home_in,SnowWorldHomeStage::entrance::EX_IceWater_Exit::home_out,IceWaterBlockExStage::entrance::EX_IceWater::sub_near,IceWaterBlockExStage::entrance::EX_IceWater_Exit::sub_far,active,
70,Snow Kingdom,overworld,SnowWorldHomeStage,ByugoPuzzle,ByugoPuzzle,ByugoPuzzleExStage,ByugoPuzzle,ByugoPuzzle,SnowWorldHomeStage::entrance::ByugoPuzzle::home_in,SnowWorldHomeStage::entrance::ByugoPuzzle::home_out,ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_near,ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_far,active,
71,Snow Kingdom,overworld,SnowWorldHomeStage,FigureWalker,FigureWalker,IceWalkerExStage,FigureWalker,FigureWalker,SnowWorldHomeStage::entrance::FigureWalker::home_in,SnowWorldHomeStage::entrance::FigureWalker::home_out,IceWalkerExStage::entrance::FigureWalker::sub_near,IceWalkerExStage::entrance::FigureWalker::sub_far,active,
72,Snow Kingdom,overworld,SnowWorldHomeStage,EX_SkyBonus,EX_SkyBonus,SnowWorldCloudBonusExStage,EX_SkyBonus,EX_SkyBonus,SnowWorldHomeStage::entrance::EX_SkyBonus::home_in,SnowWorldHomeStage::entrance::EX_SkyBonus::home_out,SnowWorldCloudBonusExStage::entrance::EX_SkyBonus::sub_near,SnowWorldCloudBonusExStage::entrance::EX_SkyBonus::sub_far,active,
73,Snow Kingdom,overworld,SnowWorldHomeStage,EX_RailCol2,EX_RailCol2_Exit,KillerRailCollisionExStage,EX_RailCol2,EX_RailCol2_Exit,SnowWorldHomeStage::entrance::EX_RailCol2::home_in,SnowWorldHomeStage::entrance::EX_RailCol2_Exit::home_out,KillerRailCollisionExStage::entrance::EX_RailCol2::sub_near,KillerRailCollisionExStage::entrance::EX_RailCol2_Exit::sub_far,active,
74,Snow Kingdom,overworld,SnowWorldHomeStage,MoonRace,MoonRace,SnowWorldLobbyExStage,MoonRace,MoonRace,SnowWorldHomeStage::entrance::MoonRace::home_in,SnowWorldHomeStage::entrance::MoonRace::home_out,SnowWorldLobbyExStage::entrance::MoonRace::sub_near,SnowWorldLobbyExStage::entrance::MoonRace::sub_far,active,
153,Snow Kingdom,subarea,SnowWorldTownStage,SnowCostumeEx,SnowCostumeEx,SnowWorldCostumeStage,SnowCostumeEx,SnowCostumeEx,SnowWorldTownStage::entrance::SnowCostumeEx::home_in,SnowWorldTownStage::entrance::SnowCostumeEx::home_out,SnowWorldCostumeStage::entrance::SnowCostumeEx::sub_near,SnowWorldCostumeStage::entrance::SnowCostumeEx::sub_far,active,
154,Snow Kingdom,overworld,SnowWorldHomeStage,SnowUGEnt,SnowUGExit,SnowWorldTownStage,SnowUGEnt,SnowUGExit,SnowWorldHomeStage::entrance::SnowUGEnt::home_in,SnowWorldHomeStage::entrance::SnowUGExit::home_out,SnowWorldTownStage::entrance::SnowUGEnt::sub_near,SnowWorldTownStage::entrance::SnowUGExit::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
155,Snow Kingdom,subarea,SnowWorldTownStage,RaceEntrance,RaceTrackExit,SnowWorldLobby000Stage,RaceEntrance,RaceTrackExit,SnowWorldTownStage::entrance::RaceEntrance::home_in,SnowWorldTownStage::entrance::RaceTrackExit::home_out,SnowWorldLobby000Stage::entrance::RaceEntrance::sub_near,SnowWorldLobby000Stage::entrance::RaceTrackExit::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
156,Snow Kingdom,subarea,SnowWorldTownStage,ShopDoor,ShopDoor,SnowWorldShopStage,ShopDoor,ShopDoor,SnowWorldTownStage::entrance::ShopDoor::home_in,SnowWorldTownStage::entrance::ShopDoor::home_out,SnowWorldShopStage::entrance::ShopDoor::sub_near,SnowWorldShopStage::entrance::ShopDoor::sub_far,active,
