node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
ByugoPuzzleExStage::stage_change::ByugoPuzzle::raw,Snow Kingdom,ByugoPuzzleExStage,Ty-Foo Sliding Puzzle,subarea,stage_change,StageData,ByugoPuzzle,raw,obj99,Stage Change ByugoPuzzle,0.000,350.000,2680.867,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
ByugoPuzzleExStage::start,Snow Kingdom,ByugoPuzzleExStage,Ty-Foo Sliding Puzzle,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_far,Snow Kingdom,ByugoPuzzleExStage,Ty-Foo Sliding Puzzle,subarea,substage_entrance,EntranceDB,ByugoPuzzle,sub_far,obj99,Substage far side: ByugoPuzzle,0.000,350.000,2680.867,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_near,Snow Kingdom,ByugoPuzzleExStage,Ty-Foo Sliding Puzzle,subarea,substage_entrance,EntranceDB,ByugoPuzzle,sub_near,obj99,Substage near side: ByugoPuzzle,0.000,350.000,2680.867,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
IceWalkerExStage::stage_change::FigureWalker::raw,Snow Kingdom,IceWalkerExStage,Koopa Walking in Snow,subarea,stage_change,StageData,FigureWalker,raw,obj16,Stage Change FigureWalker,0.000,-300.000,1100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
IceWalkerExStage::start,Snow Kingdom,IceWalkerExStage,Koopa Walking in Snow,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
IceWalkerExStage::entrance::FigureWalker::sub_far,Snow Kingdom,IceWalkerExStage,Koopa Walking in Snow,subarea,substage_entrance,EntranceDB,FigureWalker,sub_far,obj16,Substage far side: FigureWalker,0.000,-300.000,1100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
IceWalkerExStage::entrance::FigureWalker::sub_near,Snow Kingdom,IceWalkerExStage,Koopa Walking in Snow,subarea,substage_entrance,EntranceDB,FigureWalker,sub_near,obj16,Substage near side: FigureWalker,0.000,-300.000,1100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
IceWaterBlockExStage::stage_change::EX_IceWater::raw,Snow Kingdom,IceWaterBlockExStage,Freezing Water,subarea,stage_change,StageData,EX_IceWater,raw,obj436,Stage Change EX_IceWater,0.000,-50.000,3850.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
IceWaterBlockExStage::stage_change::EX_IceWater_Exit::raw,Snow Kingdom,IceWaterBlockExStage,Freezing Water,subarea,stage_change,StageData,EX_IceWater_Exit,raw,obj438,Stage Change EX_IceWater_Exit,3400.000,2400.000,-2400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
IceWaterBlockExStage::start,Snow Kingdom,IceWaterBlockExStage,Freezing Water,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
IceWaterBlockExStage::entrance::EX_IceWater::sub_near,Snow Kingdom,IceWaterBlockExStage,Freezing Water,subarea,substage_entrance,EntranceDB,EX_IceWater,sub_near,obj436,Substage near side: EX_IceWater,0.000,-50.000,3850.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
IceWaterBlockExStage::entrance::EX_IceWater_Exit::sub_far,Snow Kingdom,IceWaterBlockExStage,Freezing Water,subarea,substage_entrance,EntranceDB,EX_IceWater_Exit,sub_far,obj438,Substage far side: EX_IceWater_Exit,3400.000,2400.000,-2400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
IceWaterDashExStage::stage_change::EX_IceWaterDash::raw,Snow Kingdom,IceWaterDashExStage,Dashing Over Cold Water,subarea,stage_change,StageData,EX_IceWaterDash,raw,obj127,Stage Change EX_IceWaterDash,4600.000,-50.000,-50.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
IceWaterDashExStage::stage_change::EX_IceWaterDash_Exit::raw,Snow Kingdom,IceWaterDashExStage,Dashing Over Cold Water,subarea,stage_change,StageData,EX_IceWaterDash_Exit,raw,obj267,Stage Change EX_IceWaterDash_Exit,-26450.000,8600.000,24100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
IceWaterDashExStage::start,Snow Kingdom,IceWaterDashExStage,Dashing Over Cold Water,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
IceWaterDashExStage::entrance::EX_IceWaterDash::sub_near,Snow Kingdom,IceWaterDashExStage,Dashing Over Cold Water,subarea,substage_entrance,EntranceDB,EX_IceWaterDash,sub_near,obj127,Substage near side: EX_IceWaterDash,4600.000,-50.000,-50.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
IceWaterDashExStage::entrance::EX_IceWaterDash_Exit::sub_far,Snow Kingdom,IceWaterDashExStage,Dashing Over Cold Water,subarea,substage_entrance,EntranceDB,EX_IceWaterDash_Exit,sub_far,obj267,Substage far side: EX_IceWaterDash_Exit,-26450.000,8600.000,24100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
KillerRailCollisionExStage::stage_change::EX_RailCol2::raw,Snow Kingdom,KillerRailCollisionExStage,Wintery Flower Road,subarea,stage_change,StageData,EX_RailCol2,raw,obj2322,Stage Change EX_RailCol2,-3300.000,-250.000,9150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
KillerRailCollisionExStage::stage_change::EX_RailCol2_Exit::raw,Snow Kingdom,KillerRailCollisionExStage,Wintery Flower Road,subarea,stage_change,StageData,EX_RailCol2_Exit,raw,obj2903,Stage Change EX_RailCol2_Exit,-22500.000,3200.000,-2600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
KillerRailCollisionExStage::start,Snow Kingdom,KillerRailCollisionExStage,Wintery Flower Road,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
KillerRailCollisionExStage::entrance::EX_RailCol2::sub_near,Snow Kingdom,KillerRailCollisionExStage,Wintery Flower Road,subarea,substage_entrance,EntranceDB,EX_RailCol2,sub_near,obj2322,Substage near side: EX_RailCol2,-3300.000,-250.000,9150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
KillerRailCollisionExStage::entrance::EX_RailCol2_Exit::sub_far,Snow Kingdom,KillerRailCollisionExStage,Wintery Flower Road,subarea,substage_entrance,EntranceDB,EX_RailCol2_Exit,sub_far,obj2903,Substage far side: EX_RailCol2_Exit,-22500.000,3200.000,-2600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
SnowWorldCloudBonusExStage::stage_change::EX_SkyBonus::raw,Snow Kingdom,SnowWorldCloudBonusExStage,Spinning Above the Clouds,subarea,stage_change,StageData,EX_SkyBonus,raw,obj4784,Stage Change EX_SkyBonus,2450.000,4700.000,150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
SnowWorldCloudBonusExStage::start,Snow Kingdom,SnowWorldCloudBonusExStage,Spinning Above the Clouds,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
SnowWorldCloudBonusExStage::entrance::EX_SkyBonus::sub_far,Snow Kingdom,SnowWorldCloudBonusExStage,Spinning Above the Clouds,subarea,substage_entrance,EntranceDB,EX_SkyBonus,sub_far,obj4784;obj6594,Substage far side: EX_SkyBonus,,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea;GrowPlantStartStage.,
SnowWorldCloudBonusExStage::entrance::EX_SkyBonus::sub_near,Snow Kingdom,SnowWorldCloudBonusExStage,Spinning Above the Clouds,subarea,substage_entrance,EntranceDB,EX_SkyBonus,sub_near,obj4784;obj6594,Substage near side: EX_SkyBonus,,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SnowWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea;GrowPlantStartStage.,
SnowWorldCostumeStage::stage_change::SnowCostumeEx::raw,Snow Kingdom,SnowWorldCostumeStage,Cold Room,subarea,stage_change,StageData,SnowCostumeEx,raw,obj71,Stage Change SnowCostumeEx,-1838.478,50.000,0.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
SnowWorldCostumeStage::start,Snow Kingdom,SnowWorldCostumeStage,Cold Room,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
SnowWorldHomeStage::checkpoint::obj1066,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,checkpoint,StageData,,,obj1066,Above the Ice Well Checkpoint (obj1066),-1343.503,1900.000,-1131.371,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SnowWorldHomeStage::checkpoint::obj1387,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,checkpoint,StageData,,,obj1387,Snow Kingdom Clifftop Checkpoint (obj1387),-7800.000,6360.003,11950.000,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SnowWorldHomeStage::checkpoint::obj1440,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,checkpoint,StageData,,,obj1440,Corner of the Freezing Sea Checkpoint (obj1440),7850.000,1341.288,-3700.000,1;2;3,Raw UnitConfigName=CheckpointFlag.,
SnowWorldHomeStage::entrance::ByugoPuzzle::home_in,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,home_entrance,EntranceDB,ByugoPuzzle,home_in,obj1095,Home entrance: ByugoPuzzle,-3146.625,2000.000,9439.876,0;1;2;3,Links to ByugoPuzzleExStage. StageData anchor UnitConfigName=ChangeStageArea.,
SnowWorldHomeStage::entrance::ByugoPuzzle::home_out,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,home_entrance,EntranceDB,ByugoPuzzle,home_out,obj1095,Home return: ByugoPuzzle,-3146.625,2000.000,9439.876,0;1;2;3,Links to ByugoPuzzleExStage. StageData anchor UnitConfigName=ChangeStageArea.,
SnowWorldHomeStage::entrance::EX_IceWater::home_in,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,home_entrance,EntranceDB,EX_IceWater,home_in,obj774,Home entrance: EX_IceWater,3995.153,1600.000,4914.392,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to IceWaterBlockExStage. StageData anchor UnitConfigName=DoorAreaChangeCap.,
SnowWorldHomeStage::entrance::EX_IceWaterDash::home_in,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,home_entrance,EntranceDB,EX_IceWaterDash,home_in,obj681,Home entrance: EX_IceWaterDash,-5350.000,1400.000,2200.000,0;1;2;3,Links to IceWaterDashExStage. StageData anchor UnitConfigName=ChangeStageArea.,
SnowWorldHomeStage::entrance::EX_IceWaterDash_Exit::home_out,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,home_entrance,EntranceDB,EX_IceWaterDash_Exit,home_out,obj1106,Home return: EX_IceWaterDash_Exit,-5250.000,2100.000,2200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to IceWaterDashExStage. StageData anchor UnitConfigName=DokanStageChange.,
