moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
SnowWorldHomeStage:769:2,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,Moon Shards in the Snow,SnowWorldHomeStage:769:2,769,2,ShineFlag_None,SnowWorldHomeStage::checkpoint::obj1066,,Swim | (NeutralThrow & DownThrow) | PukupukuSnow,WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,"method_1(jump=Cap Return Jump (400); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None) | method_2(jump=Long Jump; cap_throw=Up Throw; other=None)",true,,,,,,,,,-1400.000,1750.000,7850.000,ShineInfo.szs,ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,1,2,-1,14,false,false,2;3;4,シャインチップ全取得監視者,集めて！ 雪のムーンチップ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;advanced,
SnowWorldHomeStage:1049:3,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,Taking Notes: Snow Path Dash,SnowWorldHomeStage:1049:3,1049,3,ShineFlag_None,SnowWorldHomeStage::checkpoint::obj1066,,free,WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None) | method_2(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=Roll Boost),true,,,,,,,,,-4150.000,1350.000,-4750.000,ShineInfo.szs,ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,1,3,-1,14,false,false,2;3;4,音符オブジェ(1つ目),雪道ダッシュで 音符集め,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SnowWorldHomeStage:1086:4,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,Fishing in the Glacier!,SnowWorldHomeStage:1086:4,1086,4,ShineFlag_None,SnowWorldHomeStage::checkpoint::obj1066,,JugemFishing,WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw)",true,FishingFish,D,,,1;2;3,,,,11900.000,950.000,9950.000,SnowWorldHomeStageMap.szs;ShineInfo.szs,SnowWorldHomeStageMap.byml;ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,3,5,-1,14,false,false,2;3;4,魚影,氷河で フィッシング！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SnowWorldHomeStage:1116:6,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,Above the Freezing Fishing Pond,SnowWorldHomeStage:1116:6,1116,6,ShineFlag_Extra,SnowWorldHomeStage::checkpoint::obj1066,,free,WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,ShineAddByRockAddHeight,B,-1,,3,-1,None,,12400.000,3700.000,10750.000,SnowWorldHomeStageMap.szs;ShineInfo.szs,SnowWorldHomeStageMap.byml;ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,1,25,-1,8,false,true,4,シャイン【月の石追加版2m】,凍てつく釣り堀の上に,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SnowWorldHomeStage:581:7,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,Ice Floe Swimming,SnowWorldHomeStage:581:7,581,7,ShineFlag_Extra,SnowWorldHomeStage::place::new_place,,free,WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,ShineAddByRock,B,-1,,3,-1,None,,11900.000,650.000,3100.000,SnowWorldHomeStageMap.szs;ShineInfo.szs,SnowWorldHomeStageMap.byml;ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,1,30,-1,8,false,true,4,シャイン【月の石追加版】,流氷スイミング,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SnowWorldHomeStage:1113:8,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,Shining on High,SnowWorldHomeStage:1113:8,1113,8,ShineFlag_Extra,SnowWorldHomeStage::checkpoint::obj1066,,free,WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,"captures=Locked behind Default Capture, Frog, Paragoomba, Glydon, Uproot, Shiverian, Gushen, Parabones, Yoshi, Dino | method_1(jump=Triple Jump (550); cap_throw=No Cap Throw Needed; other=None) | method_2(jump=No Jump Needed; cap_throw=Neutral Throw, Down Throw, Up Throw, Spin Throw; other=Capture)",true,ShineAddByRock,B,-1,,3,-1,None,,-2600.000,5700.000,8050.000,SnowWorldHomeStageMap.szs;ShineInfo.szs,SnowWorldHomeStageMap.byml;ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,1,26,-1,8,false,true,4,シャイン【月の石追加版】,高台の上で かがやいて,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SnowWorldHomeStage:1115:9,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,"Deep in the Cold, Cold Water",SnowWorldHomeStage:1115:9,1115,9,ShineFlag_Extra,SnowWorldHomeStage::checkpoint::obj1066,,(GroundPound & Swim) | (GroundPound & PukupukuSnow),WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=Ground Pound),true,,,,,,,,,4900.000,550.000,-5050.000,ShineInfo.szs,ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,1,28,-1,8,false,true,4,ここ掘れポイント,冷たい冷たい 水の底から,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced,"1,2,3,4"
SnowWorldHomeStage:1117:10,Snow Kingdom,SnowWorldHomeStage,Snow Kingdom,overworld,It Popped Out of the Ice,SnowWorldHomeStage:1117:10,1117,10,ShineFlag_Extra,SnowWorldHomeStage::checkpoint::obj1066,,(Byugo & GroundPound) | (WallJump & GroundPound) | (Vault & GroundPound & NeutralThrow) | (Dive & GroundPound) | (Backflip & LedgeGrab & GroundPound) | (GroundPound & GroundPoundJump & LedgeGrab) | (SideFlip & LedgeGrab & GroundPound) | (Spin & LedgeGrab & GroundPound) | (TripleJump & GroundPound) | (UpThrow & Vault & GroundPound) | (DownThrow & Vault & LedgeGrab & GroundPound) | (NeutralThrow & GroundPound & GroundPoundJump) | (NeutralThrow & Backflip & GroundPound) | (NeutralThrow & GroundPound & SideFlip),WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,"method_1(jump=Backflip/Vault/Side Flip (496); cap_throw=No Cap Throw Needed; other=Ledge Grab, Ground Pound)",true,,,,,,,,,550.000,3500.000,450.000,ShineInfo.szs,ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,1,27,-1,8,false,true,4,ここ掘れポイント,氷の中から とび出した,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;casual;casual;casual;casual;casual;casual;casual;casual;advanced;advanced;expert;expert;expert,
IceWaterDashExStage:81:12,Snow Kingdom,IceWaterDashExStage,Dashing Over Cold Water,subarea,Dashing Over Cold Water!,IceWaterDashExStage:81:12,81,12,ShineFlag_None,IceWaterDashExStage::entrance::EX_IceWaterDash_Exit::sub_far,,free,WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-26450.000,8650.000,22600.000,IceWaterDashExStageMap.szs;ShineInfo.szs,IceWaterDashExStageMap.byml;ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,15,8,-1,15,false,false,1;2;3;4,シャイン,ダッシュ！ ダッシュ！ 冷たい水,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
IceWaterDashExStage:262:13,Snow Kingdom,IceWaterDashExStage,Dashing Over Cold Water,subarea,Dashing Above and Beyond!,IceWaterDashExStage:262:13,262,13,ShineFlag_None,IceWaterDashExStage::entrance::EX_IceWaterDash_Exit::sub_far,,(RocketFlower & Swim),WorldPeace_Snow,MoonRockActive_Snow,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,ShineAddHeight,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-26450.000,16700.000,33800.000,IceWaterDashExStageMap.szs;ShineInfo.szs,IceWaterDashExStageMap.byml;ShineList_SnowWorldHomeStage.byml;ShinePosList.byml,15,41,-1,15,false,false,1;2;3;4,シャイン【2m置き】,ダッシュ！ ダッシュ！ 急こう配,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
