edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0007,Snow Kingdom,overworld,SnowWorldHomeStage::entrance::ByugoPuzzle::home_in,SnowWorldHomeStage::start,Byugo,,human_route,casual,true,editor,Created in graph editor.,"2,3,4,5",
edge_user_0008,Snow Kingdom,overworld,SnowWorldHomeStage::entrance::EX_IceWater::home_in,SnowWorldHomeStage::start,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4,5",
edge_user_0009,Snow Kingdom,overworld,SnowWorldHomeStage::entrance::EX_IceWaterDash::home_in,SnowWorldHomeStage::start,free,,human_route,casual,false,editor,Created in graph editor.,"2,3,4,5",
edge_user_0010,Snow Kingdom,overworld,SnowWorldHomeStage::start,SnowWorldHomeStage::entrance::MoonRace::home_in,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4,5",
edge_user_0012,Snow Kingdom,overworld,SnowWorldHomeStage::entrance::EX_RailCol2::home_in,SnowWorldHomeStage::start,free,,human_route,casual,true,editor,Created in graph editor.,"4,5",
edge_user_0014,Snow Kingdom,overworld,SnowWorldHomeStage::entrance::EX_SkyBonus::home_in,SnowWorldHomeStage::start,(Climb & Grab),,human_route,casual,false,editor,Created in graph editor.,"2,3,4,5",
edge_user_0015,Snow Kingdom,overworld,SnowWorldHomeStage::start,SnowWorldHomeStage::checkpoint::obj1066,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0016,Snow Kingdom,overworld,SnowWorldHomeStage::start,SnowWorldHomeStage::checkpoint::obj1387,(GroundPound & Crouch & RollBoost & Roll & Vault & Dive & NeutralThrow),,human_route,advanced,false,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0017,Snow Kingdom,overworld,SnowWorldHomeStage::start,SnowWorldHomeStage::checkpoint::obj1440,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4,5",
edge_user_0018,Snow Kingdom,overworld,SnowWorldHomeStage::event::MoonRockActive_Snow,SnowWorldHomeStage::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0020,Snow Kingdom,subarea,SnowWorldTownZone::start,SnowWorldTownStage::entrance::SnowUGExit::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0021,Snow Kingdom,subarea,SnowWorldByugoZone::start,SnowWorldTownZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0019,Snow Kingdom,subarea,SnowWorldGabuzouZone::start,SnowWorldTownZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0022,Snow Kingdom,subarea,SnowWorldIcicleZone::start,SnowWorldTownZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0023,Snow Kingdom,subarea,SnowWorldBalconyZone::start,SnowWorldTownZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0024,Snow Kingdom,subarea,SnowWorldTownStage::entrance::SnowCostumeEx::home_in,SnowWorldTownZone::start,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0026,Snow Kingdom,subarea,SnowWorldTownZone::start,SnowWorldTownStage::entrance::ShopDoor::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0204,Snow Kingdom,subarea,SnowWorldLobby000Stage::entrance::RaceTrackExit::sub_far,SnowWorldLobby000Stage::entrance::RaceTrackExit::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0205,Snow Kingdom,subarea,SnowWorldLobbyExStage::entrance::MoonRace::sub_far,SnowWorldLobbyExStage::entrance::MoonRace::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0206,Snow Kingdom,subarea,SnowWorldLobby000Stage::entrance::RaceTrackExit::sub_near,SnowWorldLobby001Stage::place::new_place,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0207,Snow Kingdom,subarea,SnowWorldCostumeStage::entrance::SnowCostumeEx::sub_near,SnowWorldCostumeStage::entrance::SnowCostumeEx::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0638,Snow Kingdom,subarea,SnowWorldShopStage::entrance::ShopDoor::sub_near,SnowWorldShopStage::entrance::ShopDoor::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0641,Snow Kingdom,subarea,IceWalkerExStage::entrance::FigureWalker::sub_near,IceWalkerExStage::entrance::FigureWalker::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0642,Snow Kingdom,subarea,SnowWorldTownStage::entrance::SnowUGExit::sub_far,SnowWorldTownStage::entrance::SnowUGExit::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0643,Snow Kingdom,subarea,SnowWorldCloudBonusExStage::entrance::EX_SkyBonus::sub_near,SnowWorldCloudBonusExStage::entrance::EX_SkyBonus::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0644,Snow Kingdom,subarea,ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_far,ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0688,Snow Kingdom,overworld,SnowWorldHomeStage::start,SnowWorldHomeStage::stage_change::Go::raw,Byugo,,human_route,casual,false,editor,Created in graph editor.,"2,3,4,5",
edge_user_0689,Snow Kingdom,overworld,SnowWorldHomeStage::stage_change::Go::raw,SnowWorldHomeStage::start,free,,human_route,casual,false,editor,Reverse of edge_user_0688.,"1,2,3,4,5",
edge_user_0695,Snow Kingdom,overworld,SnowWorldHomeStage::checkpoint::obj1387,SnowWorldHomeStage::start,free,,human_route,casual,false,editor,Reverse of edge_user_0016.,"1,2,3,4,5",
edge_user_0696,Snow Kingdom,overworld,SnowWorldHomeStage::start,SnowWorldHomeStage::entrance::EX_IceWaterDash::home_in,free,,human_route,casual,false,editor,Reverse of edge_user_0009.,"2,3,4,5",
edge_user_0699,Snow Kingdom,subarea,SnowWorldTownZone::start,SnowWorldTownStage::entrance::SnowCostumeEx::home_in,Climb | (Vault & Dive & NeutralThrow) | (WallJump & NeutralThrow) | (WallJump & UpThrow) | (WallJump & DownThrow) | (WallJump & Dive & SpinThrow) | WallJump,,human_route,casual;advanced;advanced;advanced;advanced;advanced;expert,false,editor,Reverse of edge_user_0024.,,
edge_user_0049,Snow Kingdom,subarea,IceWaterDashExStage::entrance::EX_IceWaterDash::sub_near,IceWaterDashExStage::entrance::EX_IceWaterDash_Exit::sub_far,(Swim & RocketFlower) | (NeutralThrow & RocketFlower) | (UpThrow & Vault & RocketFlower) | (Vault & DownThrow & RocketFlower) | (Dive & RocketFlower) | (LongJump & RocketFlower) | (UpThrow & Backflip & RocketFlower) | (LedgeGrab & RocketFlower) | (Spin & RocketFlower) | (TripleJump & RocketFlower),,human_route,casual;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced,false,editor,Created in graph editor.,"1,2,3,4",
edge_user_0050,Snow Kingdom,subarea,IceWaterBlockExStage::entrance::EX_IceWater::sub_near,IceWaterBlockExStage::entrance::EX_IceWater_Exit::sub_far,Swim | (GroundPound & RollBoost & TripleJump & Dive),,human_route,casual;expert,true,editor,Created in graph editor.,,
edge_user_0051,Snow Kingdom,subarea,KillerRailCollisionExStage::entrance::EX_RailCol2::sub_near,KillerRailCollisionExStage::entrance::EX_RailCol2_Exit::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0052,Snow Kingdom,subarea,KillerRailCollisionExStage::entrance::EX_RailCol2_Exit::sub_far,KillerRailCollisionExStage::entrance::EX_RailCol2::sub_near,KillerMagnum,,human_route,casual,false,editor,Reverse of edge_user_0051.,,
edge_user_0318,Snow Kingdom,overworld,SnowWorldHomeStage::checkpoint::obj1066,SnowWorldHomeStage::event::MoonRockActive_Snow,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0319,Snow Kingdom,overworld,SnowWorldHomeStage::checkpoint::obj1066,SnowWorldHomeStage::entrance::ByugoPuzzle::home_in,Byugo,,human_route,casual,false,editor,Created in graph editor.,"2,3,4,5",
edge_user_0320,Snow Kingdom,overworld,SnowWorldHomeStage::entrance::ByugoPuzzle::home_in,SnowWorldHomeStage::checkpoint::obj1066,free,,human_route,casual,false,editor,Reverse of edge_user_0319.,,
edge_user_0321,Snow Kingdom,overworld,SnowWorldHomeStage::checkpoint::obj1066,SnowWorldHomeStage::entrance::EX_IceWaterDash::home_in,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4,5",
edge_user_0322,Snow Kingdom,overworld,SnowWorldHomeStage::checkpoint::obj1066,SnowWorldHomeStage::entrance::EX_IceWaterDash_Exit::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0323,Snow Kingdom,overworld,SnowWorldHomeStage::entrance::EX_IceWaterDash_Exit::home_out,SnowWorldHomeStage::checkpoint::obj1066,free,,human_route,casual,false,editor,Reverse of edge_user_0322.,,
edge_user_0324,Snow Kingdom,overworld,SnowWorldHomeStage::checkpoint::obj1066,SnowWorldHomeStage::entrance::EX_IceWater::home_in,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4,5",
edge_user_0325,Snow Kingdom,overworld,SnowWorldHomeStage::checkpoint::obj1066,SnowWorldHomeStage::entrance::EX_IceWater_Exit::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0326,Snow Kingdom,overworld,SnowWorldHomeStage::entrance::EX_IceWater_Exit::home_out,SnowWorldHomeStage::checkpoint::obj1066,free,,human_route,casual,false,editor,Reverse of edge_user_0325.,,
edge_user_0327,Snow Kingdom,overworld,SnowWorldHomeStage::checkpoint::obj1066,SnowWorldHomeStage::entrance::EX_SkyBonus::home_in,(Climb & Grab),,human_route,casual,false,editor,Created in graph editor.,"2,3,4,5",
