anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
ByugoPuzzleExStage::stage_change::ByugoPuzzle::raw,ByugoPuzzleExStage::stage_change::ByugoPuzzle::raw,change_stage_id,Snow Kingdom,ByugoPuzzleExStage,subarea,ByugoPuzzle,raw,obj99,0.000,350.000,2680.867,StageData,,Runtime/stable anchor for graph initialization or event checks.
ByugoPuzzleExStage::start,ByugoPuzzleExStage::start,stage_start,Snow Kingdom,ByugoPuzzleExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_far,ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_far,entrance_side,Snow Kingdom,ByugoPuzzleExStage,subarea,ByugoPuzzle,sub_far,obj99,0.000,350.000,2680.867,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_near,ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_near,entrance_side,Snow Kingdom,ByugoPuzzleExStage,subarea,ByugoPuzzle,sub_near,obj99,0.000,350.000,2680.867,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
IceWalkerExStage::stage_change::FigureWalker::raw,IceWalkerExStage::stage_change::FigureWalker::raw,change_stage_id,Snow Kingdom,IceWalkerExStage,subarea,FigureWalker,raw,obj16,0.000,-300.000,1100.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
IceWalkerExStage::start,IceWalkerExStage::start,stage_start,Snow Kingdom,IceWalkerExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
IceWalkerExStage::entrance::FigureWalker::sub_far,IceWalkerExStage::entrance::FigureWalker::sub_far,entrance_side,Snow Kingdom,IceWalkerExStage,subarea,FigureWalker,sub_far,obj16,0.000,-300.000,1100.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
IceWalkerExStage::entrance::FigureWalker::sub_near,IceWalkerExStage::entrance::FigureWalker::sub_near,entrance_side,Snow Kingdom,IceWalkerExStage,subarea,FigureWalker,sub_near,obj16,0.000,-300.000,1100.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
IceWaterBlockExStage::stage_change::EX_IceWater::raw,IceWaterBlockExStage::stage_change::EX_IceWater::raw,change_stage_id,Snow Kingdom,IceWaterBlockExStage,subarea,EX_IceWater,raw,obj436,0.000,-50.000,3850.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
IceWaterBlockExStage::stage_change::EX_IceWater_Exit::raw,IceWaterBlockExStage::stage_change::EX_IceWater_Exit::raw,change_stage_id,Snow Kingdom,IceWaterBlockExStage,subarea,EX_IceWater_Exit,raw,obj438,3400.000,2400.000,-2400.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
IceWaterBlockExStage::start,IceWaterBlockExStage::start,stage_start,Snow Kingdom,IceWaterBlockExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
IceWaterBlockExStage::entrance::EX_IceWater::sub_near,IceWaterBlockExStage::entrance::EX_IceWater::sub_near,entrance_side,Snow Kingdom,IceWaterBlockExStage,subarea,EX_IceWater,sub_near,obj436,0.000,-50.000,3850.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
