link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
31,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_Water,EX_Water_Exit,ForestWorldWaterExStage,EX_Water,EX_Water_Exit,ForestWorldHomeStage::entrance::EX_Water::home_in,ForestWorldHomeStage::entrance::EX_Water_Exit::home_out,ForestWorldWaterExStage::entrance::EX_Water::sub_near,ForestWorldWaterExStage::entrance::EX_Water_Exit::sub_far,active,
32,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_RailCollision,EX_RailCollision_Exit,RailCollisionExStage,EX_RailCollision,EX_RailCollision_Exit,ForestWorldHomeStage::entrance::EX_RailCollision::home_in,ForestWorldHomeStage::entrance::EX_RailCollision_Exit::home_out,RailCollisionExStage::entrance::EX_RailCollision::sub_near,RailCollisionExStage::entrance::EX_RailCollision_Exit::sub_far,active,
33,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_Tankuro,EX_Tankuro_Exit,ShootingElevatorExStage,EX_Tankuro,EX_Tankuro_Exit,ForestWorldHomeStage::entrance::EX_Tankuro::home_in,ForestWorldHomeStage::entrance::EX_Tankuro_Exit::home_out,ShootingElevatorExStage::entrance::EX_Tankuro::sub_near,ShootingElevatorExStage::entrance::EX_Tankuro_Exit::sub_far,active,
34,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_Mist,EX_Mist,FogMountainExStage,EX_Mist,EX_Mist,ForestWorldHomeStage::entrance::EX_Mist::home_in,ForestWorldHomeStage::entrance::EX_Mist::home_out,FogMountainExStage::entrance::EX_Mist::sub_near,FogMountainExStage::entrance::EX_Mist::sub_far,active,
35,Wooded Kingdom,overworld,ForestWorldHomeStage,bonus,bonus2,ForestWorldBonusStage,bonus,bonus2,ForestWorldHomeStage::entrance::bonus::home_in,ForestWorldHomeStage::entrance::bonus2::home_out,ForestWorldBonusStage::entrance::bonus::sub_near,ForestWorldBonusStage::entrance::bonus2::sub_far,active,
36,Wooded Kingdom,overworld,ForestWorldHomeStage,PoisonEx,PoisonEx_Exit,PackunPoisonExStage,PoisonEx,PoisonEx_Exit,ForestWorldHomeStage::entrance::PoisonEx::home_in,ForestWorldHomeStage::entrance::PoisonEx_Exit::home_out,PackunPoisonExStage::entrance::PoisonEx::sub_near,PackunPoisonExStage::entrance::PoisonEx_Exit::sub_far,active,
37,Wooded Kingdom,overworld,ForestWorldHomeStage,KillerRoad,KillerRoad,KillerRoadExStage,KillerRoad,KillerRoad,ForestWorldHomeStage::entrance::KillerRoad::home_in,ForestWorldHomeStage::entrance::KillerRoad::home_out,KillerRoadExStage::entrance::KillerRoad::sub_near,KillerRoadExStage::entrance::KillerRoad::sub_far,active,
38,Wooded Kingdom,overworld,ForestWorldHomeStage,EXCloud,EXCloud,ForestWorldCloudBonusExStage,EXCloud,EXCloud,ForestWorldHomeStage::entrance::EXCloud::home_in,ForestWorldHomeStage::entrance::EXCloud::home_out,ForestWorldCloudBonusExStage::entrance::EXCloud::sub_near,ForestWorldCloudBonusExStage::entrance::EXCloud::sub_far,active,
39,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_AnimalChase,EX_AnimalChase,AnimalChaseExStage,EX_AnimalChase,EX_AnimalChase,ForestWorldHomeStage::entrance::EX_AnimalChase::home_in,ForestWorldHomeStage::entrance::EX_AnimalChase::home_out,AnimalChaseExStage::entrance::EX_AnimalChase::sub_near,AnimalChaseExStage::entrance::EX_AnimalChase::sub_far,active,
40,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai001,Jyukai001v,ForestWorldWoodsStage,Jyukai001,Jyukai001v,ForestWorldHomeStage::entrance::Jyukai001::home_in,ForestWorldHomeStage::entrance::Jyukai001v::home_out,ForestWorldWoodsStage::entrance::Jyukai001::sub_near,ForestWorldWoodsStage::entrance::Jyukai001v::sub_far,active,
41,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai001v,Jyukai001v,ForestWorldWoodsStage,Jyukai001v,Jyukai001v,ForestWorldHomeStage::entrance::Jyukai001v::home_in,ForestWorldHomeStage::entrance::Jyukai001v::home_out,ForestWorldWoodsStage::entrance::Jyukai001v::sub_near,ForestWorldWoodsStage::entrance::Jyukai001v::sub_far,excluded,vine exit — no PlayerStartObjNoLink in sub; exit of Jyukai001 row
42,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai002,Jyukai002,ForestWorldWoodsStage,Jyukai002,Jyukai002,ForestWorldHomeStage::entrance::Jyukai002::home_in,ForestWorldHomeStage::entrance::Jyukai002::home_out,ForestWorldWoodsStage::entrance::Jyukai002::sub_near,ForestWorldWoodsStage::entrance::Jyukai002::sub_far,excluded,vine exit only — no PlayerStartObjNoLink in sub
43,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai003,Jyukai003v,ForestWorldWoodsStage,Jyukai003,Jyukai003v,ForestWorldHomeStage::entrance::Jyukai003::home_in,ForestWorldHomeStage::entrance::Jyukai003v::home_out,ForestWorldWoodsStage::entrance::Jyukai003::sub_near,ForestWorldWoodsStage::entrance::Jyukai003v::sub_far,active,
44,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai003v,Jyukai003v,ForestWorldWoodsStage,Jyukai003v,Jyukai003v,ForestWorldHomeStage::entrance::Jyukai003v::home_in,ForestWorldHomeStage::entrance::Jyukai003v::home_out,ForestWorldWoodsStage::entrance::Jyukai003v::sub_near,ForestWorldWoodsStage::entrance::Jyukai003v::sub_far,excluded,vine exit — no PlayerStartObjNoLink in sub; exit of Jyukai003 row
45,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai004,Jyukai004,ForestWorldWoodsStage,Jyukai004,Jyukai004,ForestWorldHomeStage::entrance::Jyukai004::home_in,ForestWorldHomeStage::entrance::Jyukai004::home_out,ForestWorldWoodsStage::entrance::Jyukai004::sub_near,ForestWorldWoodsStage::entrance::Jyukai004::sub_far,excluded,vine exit only — no PlayerStartObjNoLink in sub
134,Wooded Kingdom,subarea,ForestWorldWoodsStage,Explorer_Bonus,Explorer_Bonus,ForestWorldWoodsCostumeStage,Explorer_Bonus,Explorer_Bonus,ForestWorldWoodsStage::entrance::Explorer_Bonus::home_in,ForestWorldWoodsStage::entrance::Explorer_Bonus::home_out,ForestWorldWoodsCostumeStage::entrance::Explorer_Bonus::sub_near,ForestWorldWoodsCostumeStage::entrance::Explorer_Bonus::sub_far,active,Deep Woods owns the door; the Costume Room is the sub-area (matches the TreasureTree row)
135,Wooded Kingdom,subarea,ForestWorldWoodsStage,TreasureTree,TreasureTree,ForestWorldWoodsTreasureStage,TreasureTree,TreasureTree,ForestWorldWoodsStage::entrance::TreasureTree::home_in,ForestWorldWoodsStage::entrance::TreasureTree::home_out,ForestWorldWoodsTreasureStage::entrance::TreasureTree::sub_near,ForestWorldWoodsTreasureStage::entrance::TreasureTree::sub_far,active,
138,Wooded Kingdom,overworld,ForestWorldHomeStage,boss001,boss001,ForestWorldBossStage,boss001,boss001,ForestWorldHomeStage::entrance::boss001::home_in,ForestWorldHomeStage::entrance::boss001::home_out,ForestWorldBossStage::entrance::boss001::sub_near,ForestWorldBossStage::entrance::boss001::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
139,Wooded Kingdom,overworld,ForestWorldHomeStage,Tower001,Tower001,ForestWorldTowerStage,Tower001,Tower001,ForestWorldHomeStage::entrance::Tower001::home_in,ForestWorldHomeStage::entrance::Tower001::home_out,ForestWorldTowerStage::entrance::Tower001::sub_near,ForestWorldTowerStage::entrance::Tower001::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
159,Wooded Kingdom,overworld,ForestWorldHomeStage,Tower002,Tower002,ForestWorldTowerStage,Tower002,Tower002,ForestWorldHomeStage::entrance::Tower002::home_in,ForestWorldHomeStage::entrance::Tower002::home_out,ForestWorldTowerStage::entrance::Tower002::sub_near,ForestWorldTowerStage::entrance::Tower002::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
