node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
AnimalChaseExStage::stage_change::EX_AnimalChase::raw,Wooded Kingdom,AnimalChaseExStage,Herding Sheep,subarea,stage_change,StageData,EX_AnimalChase,raw,obj2247,Stage Change EX_AnimalChase,-4092.017,-400.000,12550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
AnimalChaseExStage::start,Wooded Kingdom,AnimalChaseExStage,Herding Sheep,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
AnimalChaseExStage::entrance::EX_AnimalChase::sub_far,Wooded Kingdom,AnimalChaseExStage,Herding Sheep,subarea,substage_entrance,EntranceDB,EX_AnimalChase,sub_far,obj2247,Substage far side: EX_AnimalChase,-4092.017,-400.000,12550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from ForestWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
AnimalChaseExStage::entrance::EX_AnimalChase::sub_near,Wooded Kingdom,AnimalChaseExStage,Herding Sheep,subarea,substage_entrance,EntranceDB,EX_AnimalChase,sub_near,obj2247,Substage near side: EX_AnimalChase,-4092.017,-400.000,12550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from ForestWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
FogMountainExStage::stage_change::EX_Mist::raw,Wooded Kingdom,FogMountainExStage,Shards in the Fog,subarea,stage_change,StageData,EX_Mist,raw,obj308,Stage Change EX_Mist,0.000,200.000,400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=BazookaElectric.,
FogMountainExStage::start,Wooded Kingdom,FogMountainExStage,Shards in the Fog,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
FogMountainExStage::entrance::EX_Mist::sub_far,Wooded Kingdom,FogMountainExStage,Shards in the Fog,subarea,substage_entrance,EntranceDB,EX_Mist,sub_far,obj308,Substage far side: EX_Mist,0.000,200.000,400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from ForestWorldHomeStage. StageData anchor UnitConfigName=BazookaElectric.,
FogMountainExStage::entrance::EX_Mist::sub_near,Wooded Kingdom,FogMountainExStage,Shards in the Fog,subarea,substage_entrance,EntranceDB,EX_Mist,sub_near,obj308,Substage near side: EX_Mist,0.000,200.000,400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from ForestWorldHomeStage. StageData anchor UnitConfigName=BazookaElectric.,
ForestWorld2DRoadZone::start,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,custom_place,embedded_zone,,,,ForestWorld2DRoadZone,7550.000,9600.000,-11475.030,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Embedded map landmark from ForestWorld2DRoadZone.,
ForestWorldBonusStage::stage_change::bonus2::raw,Wooded Kingdom,ForestWorldBonusStage,Spinning-Platforms Treasure Vault,subarea,stage_change,StageData,bonus2,raw,obj92,Stage Change bonus2,0.000,200.000,-1200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
ForestWorldBonusStage::stage_change::bonus::raw,Wooded Kingdom,ForestWorldBonusStage,Spinning-Platforms Treasure Vault,subarea,stage_change,StageData,bonus,raw,obj5,Stage Change bonus,0.000,0.000,250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
ForestWorldBonusStage::start,Wooded Kingdom,ForestWorldBonusStage,Spinning-Platforms Treasure Vault,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
ForestWorldBonusStage::entrance::bonus2::sub_far,Wooded Kingdom,ForestWorldBonusStage,Spinning-Platforms Treasure Vault,subarea,substage_entrance,EntranceDB,bonus2,sub_far,obj92,Substage far side: bonus2,0.000,200.000,-1200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from ForestWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
ForestWorldBonusStage::entrance::bonus::sub_near,Wooded Kingdom,ForestWorldBonusStage,Spinning-Platforms Treasure Vault,subarea,substage_entrance,EntranceDB,bonus,sub_near,obj5,Substage near side: bonus,0.000,0.000,250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from ForestWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
ForestWorldBossStage::stage_change::Boss_Respawn::raw,Wooded Kingdom,ForestWorldBossStage,Secret Flower Field,subarea,stage_change,StageData,Boss_Respawn,raw,obj587,Stage Change Boss_Respawn,0.000,0.000,-2200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=MissRestartArea.,
ForestWorldBossStage::stage_change::boss001::raw,Wooded Kingdom,ForestWorldBossStage,Secret Flower Field,subarea,stage_change,StageData,boss001,raw,obj451,Stage Change boss001,0.000,3250.000,1000.000,1,Raw UnitConfigName=ChangeStageArea.,
ForestWorldBossStage::stage_change::boss002::raw,Wooded Kingdom,ForestWorldBossStage,Secret Flower Field,subarea,stage_change,StageData,boss002,raw,obj453,Stage Change boss002,0.000,0.000,-5290.234,2;3;4,Raw UnitConfigName=DokanStageChange.,
ForestWorldBossStage::start,Wooded Kingdom,ForestWorldBossStage,Secret Flower Field,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
