moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
ForestWorldHomeStage:1064:129,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Road to Sky Garden,ForestWorldHomeStage:1064:129,1064,129,ShineFlag_Story,ForestWorldHomeStage::checkpoint::obj447,,free,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,"captures=Uproot, Frog, Gushen, Pokio, Paragoomba, Parabones, Glydon | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=Long Jump; cap_throw=Neutral Throw; other=Dive)",true,ShineAddHeight,C,-1,,1;2;3;4,0,None,,2250.000,3150.000,-21250.000,ForestWorldHomeStageMap.szs;ShineInfo.szs,ForestWorldHomeStageMap.byml;ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,4,72,0,31,false,false,1;2;3;4;5,ケージ(シャイン)_シャイン【2m置き】,空中庭園への道,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ForestWorldHomeStage:424:130,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Flower Thieves of Sky Garden,ForestWorldHomeStage:424:130,424,130,ShineFlag_Story | ShineFlag_Multi,ForestWorldHomeStage::checkpoint::obj3734,,free,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,"captures=Uproot, Frog, Gushen, Pokio, Paragoomba, Parabones, Glydon | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw; other=Dive)",true,,,,,,,,,-4350.000,6750.000,-20900.000,ShineInfo.szs,ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,1,73,1,1,true,false,1,火吹きボス,空中庭園の 花ドロボウ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ForestWorldHomeStage:3942:131,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Love in the Forest Ruins,ForestWorldHomeStage:3942:131,3942,131,ShineFlag_None,ForestWorldHomeStage::checkpoint::obj5216,,Kuribo,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,"captures=Goomba | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Climb)",true,,,,,,,,,-7850.000,3546.600,1450.000,ShineInfo.szs,ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,1,24,-1,30,false,false,2;3;4;5,ガールクリボー,森のガールフレンド,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ForestWorldHomeStage:5180:133,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,"Hey Out There, Captain Toad!",ForestWorldHomeStage:5180:133,5180,133,ShineFlag_None,ForestWorldHomeStage::place::new_place_5,,NpcTalk,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,captures=Glydon | method_1(jump=Single Jump (258); cap_throw=Neutral Throw; other=Capture),true,,,,,,,,,20200.000,3750.000,-8200.000,ShineInfo.szs,ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,1,12,-1,28,false,false,3;4;5,キノピオ隊長,ヤッホー！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ForestWorldHomeStage:2309:134,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Behind the Rock Wall,ForestWorldHomeStage:2309:134,2309,134,ShineFlag_None,ForestWorldHomeStage::place::new_place_29,,Tank | KingdomAccess_Wooded,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,"captures=Tank, Coin Coffer, Hammer Bro | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Climb)",true,Shine,C,-1,,0;1;2;3;4;7,-1,None,,2150.000,4900.000,-950.000,ForestWorldHomeStageMap.szs;ShineInfo.szs,ForestWorldHomeStageMap.byml;ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,6,8,-1,31,false,false,1;2;3;4;5,シャイン,発見！ 岩壁の中,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;expert,"2,3,4,5"
ForestWorldHomeStage:4052:135,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Thanks for the Charge!,ForestWorldHomeStage:4052:135,4052,135,ShineFlag_None,ForestWorldHomeStage::checkpoint::obj5216,,GroundPound | Senobi,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw; other=Ground Pound, Climb)",true,,,,,,,,,-7300.000,3525.000,-6650.000,ShineInfo.szs,ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,1,5,-1,126,false,false,2;3;4;5;6;7,ここ掘れポイント,ホキュー サンキュー,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced,
ForestWorldHomeStage:5574:136,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Fire in the Cave,ForestWorldHomeStage:5574:136,5574,136,ShineFlag_None,ForestWorldHomeStage::checkpoint::obj3708,,free,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,,,,,,,,,5000.000,349.983,-13600.000,ShineInfo.szs,ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,1,4,-1,31,false,false,1;2;3;4;5,シャイン用全滅監視,洞くつの主,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ForestWorldHomeStage:6078:137,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Secret Path to the Steam Gardens!,ForestWorldHomeStage:6078:137,6078,137,ShineFlag_None,ForestWorldHomeStage::checkpoint::obj6865,,free,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,method_1(jump=Single Jump (258); other=Other Kingdom Trigger),true,ShineAddHeight,C,-1,,0;1;2;3;4;7,-1,WorldWarpHoleShine,,-3200.000,10550.000,-3400.000,ForestWorldHomeStageMap.szs;ShineInfo.szs,ForestWorldHomeStageMap.byml;ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,6,71,-1,31,false,false,1;2;3;4;5,シャイン【2m置き】,ようこそ！ スチームガーデン！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ForestWorldHomeStage:5142:138,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Shopping in Steam Gardens,ForestWorldHomeStage:5142:138,5142,138,ShineFlag_None,ForestWorldHomeStage::start,,NpcTalk,WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,-2700.000,-500.082,5500.000,ShineInfo.szs,ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,1,13,-1,127,false,false,1;2;3;4;5;6;7,ショップ店員,スチームガーデンで お買い物,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ForestWorldHomeStage:3577:139,Wooded Kingdom,ForestWorldHomeStage,Wooded Kingdom,overworld,Atop the Tall Tree,ForestWorldHomeStage:3577:139,3577,139,ShineFlag_None,ForestWorldHomeStage::start,,Senobi | (Vault & WallJump & Dive & NeutralThrow),WorldPeace_Wooded,MoonRockActive_Wooded,primary,unrated,,"captures=Uproot | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=Long Jump; cap_throw=Neutral Throw; other=Dive, Wall Jump) | method_3(jump=Backflip/Vault/Side Flip (496); cap_throw=Neutral Throw; other=Dive)",true,TreasureBox,C,,,0;1;2;3;4;7,,None,,6600.000,6400.000,8766.352,ForestWorldHomeStageMap.szs;ShineInfo.szs,ForestWorldHomeStageMap.byml;ShineList_ForestWorldHomeStage.byml;ShinePosList.byml,6,2,-1,31,false,false,1;2;3;4;5,木の実,のっぽな木の上に,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced,
