edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0030,Wooded Kingdom,subarea,ShootingElevatorExStage::entrance::EX_Tankuro::sub_near,ShootingElevatorExStage::entrance::EX_Tankuro_Exit::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0031,Wooded Kingdom,subarea,ShootingElevatorExStage::entrance::EX_Tankuro_Exit::sub_far,ShootingElevatorExStage::entrance::EX_Tankuro::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0030.,,
edge_user_0032,Wooded Kingdom,subarea,ForestWorldWaterExStage::entrance::EX_Water::sub_near,ForestWorldWaterExStage::entrance::EX_Water_Exit::sub_far,Swim | (NeutralThrow & WallJump & Vault & Dive),,human_route,casual;expert,true,editor,Created in graph editor.,,
edge_user_0033,Wooded Kingdom,subarea,RailCollisionExStage::entrance::EX_RailCollision::sub_near,RailCollisionExStage::entrance::EX_RailCollision_Exit::sub_far,WallJump | (Kuribo & LedgeGrab) | (Kuribo & Dive),,human_route,casual;advanced;advanced,false,editor,Created in graph editor.,,
edge_user_0034,Wooded Kingdom,subarea,RailCollisionExStage::entrance::EX_RailCollision_Exit::sub_far,RailCollisionExStage::entrance::EX_RailCollision::sub_near,(GroundPound & RollBoost & Vault & NeutralThrow & Dive) | (TripleJump & Dive & Vault & NeutralThrow),,human_route,advanced,false,editor,Reverse of edge_user_0033.,"1,2,3,4,5",
edge_user_0035,Wooded Kingdom,subarea,PackunPoisonExStage::entrance::PoisonEx::sub_near,PackunPoisonExStage::entrance::PoisonEx_Exit::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0036,Wooded Kingdom,subarea,ForestWorldBonusStage::entrance::bonus::sub_near,ForestWorldBonusStage::entrance::bonus2::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0037,Wooded Kingdom,subarea,ForestWorldBonusStage::entrance::bonus2::sub_far,ForestWorldBonusStage::entrance::bonus::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0036.,,
edge_user_0080,Wooded Kingdom,subarea,ForestWorldWoodsStage::entrance::Jyukai001::sub_near,ForestWorldWoodsStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0081,Wooded Kingdom,subarea,ForestWorldWoodsStage::entrance::Jyukai002::sub_near,ForestWorldWoodsStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0082,Wooded Kingdom,subarea,ForestWorldWoodsStage::entrance::Jyukai001v::sub_near,ForestWorldWoodsStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0083,Wooded Kingdom,subarea,ForestWorldWoodsStage::entrance::Jyukai003::sub_near,ForestWorldWoodsStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0084,Wooded Kingdom,subarea,ForestWorldWoodsStage::entrance::Jyukai003v::sub_near,ForestWorldWoodsStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0085,Wooded Kingdom,subarea,ForestWorldWoodsStage::entrance::Jyukai004::sub_near,ForestWorldWoodsStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
