anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
AnimalChaseExStage::stage_change::EX_AnimalChase::raw,AnimalChaseExStage::stage_change::EX_AnimalChase::raw,change_stage_id,Wooded Kingdom,AnimalChaseExStage,subarea,EX_AnimalChase,raw,obj2247,-4092.017,-400.000,12550.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
AnimalChaseExStage::start,AnimalChaseExStage::start,stage_start,Wooded Kingdom,AnimalChaseExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
AnimalChaseExStage::entrance::EX_AnimalChase::sub_far,AnimalChaseExStage::entrance::EX_AnimalChase::sub_far,entrance_side,Wooded Kingdom,AnimalChaseExStage,subarea,EX_AnimalChase,sub_far,obj2247,-4092.017,-400.000,12550.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
AnimalChaseExStage::entrance::EX_AnimalChase::sub_near,AnimalChaseExStage::entrance::EX_AnimalChase::sub_near,entrance_side,Wooded Kingdom,AnimalChaseExStage,subarea,EX_AnimalChase,sub_near,obj2247,-4092.017,-400.000,12550.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FogMountainExStage::stage_change::EX_Mist::raw,FogMountainExStage::stage_change::EX_Mist::raw,change_stage_id,Wooded Kingdom,FogMountainExStage,subarea,EX_Mist,raw,obj308,0.000,200.000,400.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
FogMountainExStage::start,FogMountainExStage::start,stage_start,Wooded Kingdom,FogMountainExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
FogMountainExStage::entrance::EX_Mist::sub_far,FogMountainExStage::entrance::EX_Mist::sub_far,entrance_side,Wooded Kingdom,FogMountainExStage,subarea,EX_Mist,sub_far,obj308,0.000,200.000,400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FogMountainExStage::entrance::EX_Mist::sub_near,FogMountainExStage::entrance::EX_Mist::sub_near,entrance_side,Wooded Kingdom,FogMountainExStage,subarea,EX_Mist,sub_near,obj308,0.000,200.000,400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ForestWorldBonusStage::stage_change::bonus2::raw,ForestWorldBonusStage::stage_change::bonus2::raw,change_stage_id,Wooded Kingdom,ForestWorldBonusStage,subarea,bonus2,raw,obj92,0.000,200.000,-1200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ForestWorldBonusStage::stage_change::bonus::raw,ForestWorldBonusStage::stage_change::bonus::raw,change_stage_id,Wooded Kingdom,ForestWorldBonusStage,subarea,bonus,raw,obj5,0.000,0.000,250.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
